ISIN | Currency | Total Buy Count | Total Sell Count | Total Buy Quantity | Total Sell Quantity | Weighted Average Buy Price | Weighted Average Sell Price | Max Buy Price | Min Sell Price
CH0012530207	CHF	327	336	6762	6701	53962984.32416445	55719653.78301746	55300000	0
CH0025536027	CHF	265	212	2609	2815	44147930.24147183	44632877.442273535	44550000	0
CH0531751755	CHF	442	800	35622	113684	7448149.177474595	8487203.388339609	7590000	0
CH0038389992	CHF	315	316	27364	43113	6323558.507528139	7255894.857699534	6700000	0
CH0130293662	CHF	272	267	22296	21251	10905392.895586653	11044456.260881841	11000000	0
CH0012684657	CHF	262	249	13543	11846	7365502.842797017	7690047.695424616	7670000	0
CH0238627142	CHF	311	301	7973	7060	27763652.326602284	28611664.30594901	28650000	0
CH0212255803	CHF	201	260	12754	19740	6241584.600909519	6965498.480243161	6350000	0
CH0011432447	CHF	107	108	13537	14352	4206296.668390337	4265376.811594203	4280000	0
CH0002432174	CHF	246	275	2817	3223	41507383.74156904	41876822.835867204	42160000	0
CH0225173167	CHF	365	493	25226	54726	6219160.390073733	6895941.508606512	6365000	0
CH0244017502	CHF	194	238	1138	1620	116481195.07908611	118467283.95061728	117800000	0
NL0011832936	CHF	190	242	15141	22963	5343553.265966581	5432355.0929756565	5440000	0
CH0360826991	CHF	366	290	19871	11291	27295614.21166524	30309069.170135505	29950000	0
GB00B033F229	GBX	789	977	2020548	2735344	7668990.040325694	8184105.385648021	7786000	0
CH0030486770	CHF	172	261	2646	5830	35028533.635676496	37642864.49399657	35450000	0
CH0008012236	CHF	225	246	1609	1030	121077688.00497203	147359611.65048543	145400000	0
CH0012627250	CHF	169	347	5818	25338	30426254.72671021	32551182.019101743	31200000	0
CH0030380734	CHF	274	280	21716	21042	8313667.342051943	8409086.11348731	8440000	0
CH0363463438	CHF	326	491	103517	98883	1974362.9452167277	2247611.621815681	2082000	0
CH0011029946	CHF	202	157	1155	983	109292294.37229437	111029704.98474059	110800000	0
CH0023868554	CHF	256	336	36073	68500	2503576.8580378676	2803547.299270073	2618000	0
CH0006372897	CHF	217	252	820	1006	385470731.70731705	392515407.55467194	390000000	0
CH0273774791	CHF	110	122	923	1024	60575189.59913326	61464160.15625	61100000	0
CH0100837282	CHF	258	360	6787	9968	25145822.896714307	27298424.95987159	26250000	0
