ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00BGBN7C04	GBX	40	91	43287	65102	2.6663208815579735E7	2.7621436207796995E7	26930000	26750000
GB00BD6GN030	GBX	52	54	60568	64654	1.9423270704002112E7	1.966276487146967E7	19785000	19370000
DE0005439004	EUR	0	22	0	1012	0.0	1.2E7	0	12000000
IT0003428445	EUR	11	0	297	0	1445000.0	0.0	1445000	0
GB00BLWDVR75	GBX	41	53	138010	171624	9268802.043330193	9405140.481517736	9370000	9290000
CH0014852781	CHF	360	292	3063	2578	6.018009141364675E7	6.047883630721489E7	60440000	60180000
DE0008402215	EUR	0	11	0	561	0.0	2.077E7	0	20770000
GB0001765816	GBX	27	44	22042	20843	3.296538426640051E7	3.3451343376673225E7	33250000	33100000
CH0024638196	CHF	55	74	1833	1576	2.3196503000545554E7	2.3404359137055837E7	23420000	23190000
CH0000816824	CHF	67	100	21326	53593	889288.8727375035	1010165.8052357584	899000	891500
CH0009002962	CHF	200	228	531	704	2.1534764595103577E8	2.1857982954545453E8	217800000	217200000
FI0009013429	EUR	0	11	0	2607	0.0	5300000.0	0	5300000
DE000SHL1006	EUR	11	11	462	77	5420000.0	6750000.0	5420000	6750000
DK0010274414	DKK	1	11	6	341	1.2525E7	1.466E7	12525000	14660000
GB00BYM8GJ06	GBX	40	31	26322	22647	3.427574804346174E7	3.475812690422572E7	35020000	34320000
GB00B06QFB75	GBX	66	106	22863	35778	7.98984603945239E7	8.51631142042596E7	81950000	81100000
CH0011339204	CHF	48	55	14888	20268	1179985.3573347663	1202794.4543122163	1194000	1186000
FR0010208488	EUR	1	0	59	0	1397400.0	0.0	1397400	0
NL0015435975	EUR	11	0	495	0	1005000.0	0.0	1005000	0
CH0118530366	CHF	42	37	6354	2444	5843997.481901164	6011587.561374796	5960000	5980000
GB00BMBVGQ36	GBX	72	71	77885	75531	3.450645413109071E7	3.616657266552806E7	35040000	34620000
MISSING	MISSING	11	11	12100	12100	4262681.818181818	4276954.545454546	4275000	4266500
DE000A0TGJ55	EUR	11	0	77	0	7200000.0	0.0	7200000	0
GB00B11V7W98	GBX	37	61	17342	27453	9.830211048321992E7	9.921622409208466E7	99000000	98600000
CH0014284498	CHF	65	85	869	791	7.208538550057538E7	7.660847029077117E7	76600000	75100000
GB00BZ0D6727	GBX	41	26	7075	4723	1.5866142756183746E8	1.607894346813466E8	160400000	159300000
GB00BYW0PQ60	GBX	538	511	144193	142213	7.920219109110706E7	8.018013318051092E7	80040000	79800000
NL0012015705	GBX	20	17	1889	1791	3.532246691371096E8	3.5785538805136794E8	364150000	350450000
GB00BLGZ9862	GBX	798	818	706797	717846	2.9840258504209835E7	3.0310245442615826E7	30075000	29855000
GB00B1Z4ST84	GBX	32	34	20685	22721	3.1256636209813874E7	3.1743192641168963E7	31740000	31280000
CH0002088976	CHF	64	92	2155	2735	1.7824519721577726E7	1.9827736745886654E7	18020000	17900000
JE00BMDZN391	GBX	44	41	53449	92424	1.3776866919867538E7	1.3992005431489656E7	13940000	13820000
GB00B7T77214	GBX	686	774	829822	1229102	2.4743361214814745E7	2.5680231966102082E7	25460000	25150000
